OpenAlex.title;issn.X1;issn.X2;issn.X3;issn.X4;host_organization_name;country_code;concept;Scopus.title;Print-ISSN;E-ISSN;All Science Journal Classification Codes (ASJC);WoS.title;WoS.ISSN;WoS.eISSN;WoS. Categories;DOAJ.title;DOAJ.Journal ISSN (print version);DOAJ.Journal EISSN (online version)
AACN Advanced Critical Care;1559-7768;1559-7776;2149-0481;;Lippincott Williams & Wilkins;TR;C159110408;AACN Advanced Critical Care;1559-7768;-;"2906; 2711; 2700;";AACN ADVANCED CRITICAL CARE;1559-7768;1559-7776;Nursing;;;
Aacn Clinical Issues: Advanced Practice in Acute and Critical Care;1538-9812;1079-0713;;;Lippincott Williams & Wilkins;US;C159110408;;;;;;;;;;;
AACN Nursing Scan in Critical Care;1055-8349;;;;;US;C159110408;;;;;;;;;;;
AANA journal;2162-5239;0094-6354;;;AANA Publishing Inc.;US;C159110408;AANA Journal;0094-6354;-;"2703; 2902; 2914; 2700;";;;;;;;
AAOHN Journal;1938-2448;2165-0969;0891-0162;2165-0799;SAGE Publishing;US;C159110408;Workplace Health and Safety;2165-0799;-;"2901; 2739;";WORKPLACE HEALTH & SAFETY;2165-0799;2165-0969;Nursing;;;
AAPPO journal : the journal of the American Association of Preferred Provider Organizations;1054-5913;;;;;US;C159110408;;;;;;;;;;;
AARN news letter;0001-0197;;;;;;C159110408;;;;;;;;;;;
ABC;1451-1053;2560-3922;;;Faculty of Agronomy in Čačak;RS;C159110408;;;;;;;;;ABC: časopis urgentne medicine;1451-1053;2560-3922
ABC Heart Failure & Cardiomyopathy;2764-3107;;;;Sociedade Brasileira de Virologia;BR;C159110408;;;;;;;;;;;
ABCS Health Sciences;2318-4965;2357-8114;;;Faculdade de Medicina do ABC;BR;C159110408;;;;;;;;;ABCS Health Sciences;2318-4965;2357-8114
AbdimasMu UMTAS;2809-0187;;;;;ID;C159110408;;;;;;;;;;;
Abuse;2633-8742;;;;;;C159110408;;;;;;;;;;;
Academic Emergency Medicine;1553-2712;1069-6563;;;Wiley-Blackwell;US;C159110408;Academic Emergency Medicine;1069-6563;-;"2711; 2700;";ACADEMIC EMERGENCY MEDICINE;1069-6563;1553-2712;Emergency Medicine;;;
Academic Pediatrics;1876-2867;1876-2859;;;Elsevier BV;NL;C159110408;Academic Pediatrics;1876-2859;1876-2867;"2735;";ACADEMIC PEDIATRICS;1876-2859;1876-2867;Pediatrics;;;
Accident and emergency nursing;1532-9267;0965-2302;;;Elsevier BV;NL;C159110408;;;;;;;;;;;
ACI Open;2566-9346;;;;Georg Thieme Verlag;DE;C159110408;;;;;;;;;;;
ACORN: the journal of perioperative nursing in Australia;1448-7535;2207-4287;;;;AU;C159110408;;;;;;;;;;;
Acta informatica medica : AIM : journal of the Society for Medical Informatics of Bosnia & Herzegovina : časopis Društva za medicinsku informatiku BiH;0353-8109;1986-5988;;;;BA;C159110408;Acta Informatica Medica;0353-8109;-;"2700;";;;;;;;
Acta Paulista De Enfermagem;1982-0194;0103-2100;;;Universidade Federal de São Paulo;BR;C159110408;Acta Paulista de Enfermagem;0103-2100;-;"2902; 2914;";ACTA PAULISTA DE ENFERMAGEM;0103-2100;1982-0194;Nursing;Acta Paulista de Enfermagem;;1982-0194
Activities, Adaptation & Aging;0192-4788;0192-4788;1544-4368;;Taylor & Francis;US;;Activities, Adaptation and Aging;0192-4788;-;"2717; 2909; 3601;";ACTIVITIES ADAPTATION & AGING;0192-4788;1544-4368;Gerontology;;;
Actualización en nutrición.;2250-7183;1667-8052;;;;AR;C159110408;;;;;;;;;;;
Acute and Critical Care;2586-6052;2586-6060;2586-6052;;Korean Society of Critical Care Medicine;KR;;Acute and Critical Care;2586-6052;2586-6060;"2706; 2906;";ACUTE AND CRITICAL CARE;2586-6052;2586-6060;Critical Care Medicine;Acute and Critical Care;2586-6052;2586-6060
Acute medicine;1747-4884;1747-4892;;;;GB;C159110408;Acute Medicine;1747-4884;1747-4892;"2706; 2711; 2700; 2724;";;;;;;;
AD nurse;0887-2198;;;;;;C159110408;;;;;;;;;;;
Addiction research & theory;1606-6359;1476-7392;;;Taylor & Francis;GB;C159110408;Addiction Research and Theory;1606-6359;1476-7392;"2701;";ADDICTION RESEARCH & THEORY;1606-6359;1476-7392;Substance Abuse | Social Issues;;;
Addiction Science & Clinical Practice;1940-0632;1940-0640;;;BioMed Central;GB;C159110408;Addiction Science & Clinical Practice;1940-0632;1940-0640;"2700;";ADDICTION SCIENCE & CLINICAL PRACTICE;1940-0640;1940-0640;Substance Abuse;Addiction Science & Clinical Practice;1940-0632;1940-0640
Addictive Behaviors;1873-6327;0306-4603;;;Elsevier BV;NL;C159110408;Addictive Behaviors;0306-4603;-;"2738; 3005; 3203; 2701;";ADDICTIVE BEHAVIORS;0306-4603;1873-6327;Substance Abuse;;;
Addictive Behaviors Reports;2352-8532;;;;Elsevier BV;GB;C159110408;Addictive Behaviors Reports;-;2352-8532;"2738; 3203; 2738; 3001; 2701;";;;;;Addictive Behaviors Reports;;2352-8532
Addictive Disorders & Their Treatment;1531-5754;1535-1122;;;Lippincott Williams & Wilkins;US;C159110408;Addictive Disorders and their Treatment;1531-5754;-;"2738; 2701;";ADDICTIVE DISORDERS & THEIR TREATMENT;1531-5754;1535-1122;Substance Abuse;;;
Adi Husada nursing journal;2502-2083;;;;;ID;C159110408;;;;;;;;;;;
Administration and Policy in Mental Health;0894-587X;1573-3289;;;Springer Science+Business Media;NL;C159110408;Administration and Policy in Mental Health and Mental Health Services Research;0894-587X;1573-3289;"2738; 2739; 2719; 2921;";ADMINISTRATION AND POLICY IN MENTAL HEALTH AND MENTAL HEALTH SERVICES RESEARCH;0894-587X;1573-3289;Health Policy & Services | Public, Environmental & Occupational Health;;;
Adolescent Health, Medicine and Therapeutics;1179-318X;;;;Dove Medical Press;NZ;C159110408;;;;;ADOLESCENT HEALTH MEDICINE AND THERAPEUTICS;1179-318X;1179-318X;Pediatrics;Adolescent Health, Medicine and Therapeutics;;1179-318X
Adolescent Medicine Clinics;1547-3368;1041-3499;;;Elsevier BV;US;C159110408;;;;;;;;;;;
Adolescent psychiatry;2210-6766;2210-6774;;;;NL;C159110408;;;;;ADOLESCENT PSYCHIATRY;2210-6766;2210-6774;Pediatrics;;;
Adolescent research review;2363-8354;2363-8346;;;Springer Science+Business Media;US;C159110408;Adolescent Research Review;2363-8346;2363-8354;"2738; 3301; 3204; 2735;";ADOLESCENT RESEARCH REVIEW;2363-8346;2363-8354;Psychology, Development | Social Sciences, Interdisciplinary;;;
Adolescents;2673-7051;;;;MDPI;CH;C159110408;;;;;;;;;Adolescents;;2673-7051
Advance data;0147-3956;;;;;US;C159110408;;;;;;;;;;;
Advanced clinical pharmacy - research, development and practical applications;2524-5333;2524-5325;;;Springer International Publishing;CH;C159110408;;;;;;;;;;;
Advanced Emergency Nursing Journal;1931-4485;1931-4493;;;Lippincott Williams & Wilkins;US;C159110408;Advanced Emergency Nursing Journal;1931-4485;-;"2907; 2711;";ADVANCED EMERGENCY NURSING JOURNAL;1931-4485;1931-4493;Nursing;;;
Advanced health care technologies;2350-269X;;;;Dove Medical Press;NZ;C159110408;;;;;;;;;;;
Advanced journal of emergency medicine;2588-400X;;;;;;C159110408;;;;;;;;;Advanced Journal of Emergency Medicine;;2588-400X
Advanced journal of nursing;2737-4971;2737-4963;;;;SG;C159110408;;;;;;;;;;;
Advanced practice in nursing;2511-3925;2511-3917;;;Springer International Publishing;CH;C159110408;;;;;;;;;;;
Advanced practice nursing quarterly;1080-4293;;;;;US;C159110408;;;;;;;;;;;
Advanced practices in nursing;2573-0347;;;;OMICS Publishing Group;US;C159110408;;;;;;;;;;;
Advanced research in psychology;2708-4884;;;;;AT;C159110408;;;;;;;;;;;
Advances and applications in bioinformatics and chemistry;1178-6949;;;;Dove Medical Press;NZ;C159110408;Advances and Applications in Bioinformatics and Chemistry;1178-6949;-;"1706; 1301; 1303; 1601;";;;;;Advances and Applications in Bioinformatics and Chemistry;;1178-6949
Advances in Aging Research;2169-0502;2169-0499;;;Scientific Research Publishing;US;C159110408;;;;;;;;;;;
Advances in Anesthesiology;2314-7555;2356-6574;;;Hindawi Publishing Corporation;EG;C159110408;;;;;;;;;;;
Advances in autism;2056-3876;2056-3868;;;Emerald Publishing Limited;GB;C159110408;Advances in Autism;2056-3868;2056-3876;"2738; 2805; 2728; 2808; 3204;";ADVANCES IN AUTISM;2056-3868;2056-3868;Psychology, Development;;;
Advances in clinical child psychology;0149-4732;;;;Springer Nature;US;C159110408;;;;;;;;;;;
Advances in communication and swallowing;2772-5383;2772-5391;;;IOS Press;NL;C159110408;;;;;;;;;;;
Advances in Critical Care;2356-6639;2314-7717;;;Hindawi Publishing Corporation;EG;C159110408;;;;;;;;;;;
Advances in Dual Diagnosis;1757-0972;2042-8324;;;Emerald Publishing Limited;GB;C159110408;Advances in Dual Diagnosis;1757-0972;2042-8324;"2738; 2921;";ADVANCES IN DUAL DIAGNOSIS;1757-0972;2042-8324;Psychology, Clinical;;;
Advances in Emergency Medicine;2314-7644;2356-6671;;;Hindawi Publishing Corporation;EG;C159110408;;;;;;;;;;;
Advances in geriatric medicine and research;2632-9921;;;;;GB;C159110408;;;;;;;;;;;
Advances in Geriatrics (Hindawi);2314-7679;2356-6736;;;Hindawi Publishing Corporation;EG;C159110408;;;;;;;;;;;
Advances in gerontology;2079-0570;2079-0589;2079-0570;;MAIK Nauka/Interperiodica;VG;;Advances in Gerontology;2079-0570;-;"2717; 2909;";ADVANCES IN GERONTOLOGY;2079-0570;2079-0589;Geriatrics & Gerontology;;;
Advances in health and behavior;2630-466X;;;;;SG;C159110408;;;;;;;;;;;
Advances in health care management;1474-8231;;;;Emerald Publishing Limited;GB;C159110408;;;;;;;;;;;
Advances in health economics and health services research;0731-2199;;;;Emerald Publishing Limited;GB;C159110408;;;;;;;;;;;
Advances in Health Sciences Education;1382-4996;1573-1677;;;Springer Science+Business Media;NL;C159110408;Advances in Health Sciences Education;1382-4996;1573-1677;"3304; 2700;";ADVANCES IN HEALTH SCIENCES EDUCATION;1382-4996;1573-1677;Education, Scientific Disciplines | Health Care Sciences & Services;;;
Advances in medical education and practice;1179-7258;;;;Dove Medical Press;NZ;C159110408;Advances in Medical Education and Practice;-;1179-7258;"3304; ";ADVANCES IN MEDICAL EDUCATION AND PRACTICE;1179-7258;1179-7258;Education, Scientific Disciplines;Advances in Medical Education and Practice;;1179-7258
Advances in medical education, research, and ethics (AMERE) book series;2475-661X;2475-6601;;;CRC Press;US;C159110408;;;;;;;;;;;
Advances in medical ethics;2385-5495;;;;;ES;C159110408;;;;;;;;;;;
Advances in medical informatics;2249-9466;2249-9474;;;;IN;C159110408;;;;;;;;;;;
Advances in mental health;1838-7357;1837-4905;;;Taylor & Francis;GB;C159110408;Advances in Mental Health;1838-7357;1837-4905;"2738;";ADVANCES IN MENTAL HEALTH;1838-7357;1837-4905;Psychiatry;;;
Advances in Mental Health and Intellectual Disabilities;2044-1282;2044-1290;;;Emerald Publishing Limited;GB;C159110408;Advances in Mental Health and Intellectual Disabilities;2044-1282;2044-1290;"2738;";ADVANCES IN MENTAL HEALTH AND INTELLECTUAL DISABILITIES;2044-1282;2044-1290;Psychiatry;;;
Advances in mental health and learning disabilities;1753-0180;2042-8332;;;;GB;C159110408;;;;;;;;;;;
Advances in Neonatal Care;1536-0903;1536-0911;;;Lippincott Williams & Wilkins;US;C159110408;Advances in Neonatal Care;1536-0903;1536-0911;"2700; 2735;";ADVANCES IN NEONATAL CARE;1536-0903;1536-0911;Nursing;;;
Advances in neurodevelopmental disorders;2366-7532;2366-7540;;;Springer Science+Business Media;CH;C159110408;Advances in Neurodevelopmental Disorders;2366-7532;2366-7540;"3201; 3301; ";ADVANCES IN NEURODEVELOPMENTAL DISORDERS;2366-7532;2366-7540;Psychology, Development | Rehabilitation | Education, Special;;;
